CountryCode,CountryZone,GmtStartTms,GmtEndTms,GmtDiff,OffsetMinutes
AT,00,2008-03-30 01:00:00.000,2008-10-26 01:00:00.000,200,120
AT,00,2008-10-26 01:00:00.000,2009-03-29 01:00:00.000,100,60
AT,00,2009-03-29 01:00:00.000,2009-10-25 01:00:00.000,200,120
AT,00,2009-10-25 01:00:00.000,2010-03-28 01:00:00.000,100,60
AT,00,2010-03-28 01:00:00.000,2010-10-31 01:00:00.000,200,120
AT,00,2010-10-31 01:00:00.000,2011-03-27 01:00:00.000,100,60
AT,00,2011-03-27 01:00:00.000,2011-10-30 01:00:00.000,200,120
AT,00,2011-10-30 01:00:00.000,2012-03-25 01:00:00.000,100,60
AT,00,2012-03-25 01:00:00.000,2012-10-28 01:00:00.000,200,120
AT,00,2012-10-28 01:00:00.000,2013-03-31 01:00:00.000,100,60
AT,00,2013-03-31 01:00:00.000,2013-10-27 01:00:00.000,200,120
AT,00,2013-10-27 01:00:00.000,2014-03-30 01:00:00.000,100,60
AT,00,2014-03-30 01:00:00.000,2014-10-26 01:00:00.000,200,120
AT,00,2014-10-26 01:00:00.000,2015-03-29 01:00:00.000,100,60
AT,00,2015-03-29 01:00:00.000,2015-10-25 01:00:00.000,200,120
AT,00,2015-10-25 01:00:00.000,2016-03-27 01:00:00.000,100,60
AT,00,2016-03-27 01:00:00.000,2016-10-30 01:00:00.000,200,120
AT,00,2016-10-30 01:00:00.000,2017-03-26 01:00:00.000,100,60
AT,00,2017-03-26 01:00:00.000,2017-10-29 01:00:00.000,200,120
AT,00,2017-10-29 01:00:00.000,2018-03-25 01:00:00.000,100,60
AT,00,2018-03-25 01:00:00.000,2018-10-28 01:00:00.000,200,120
AT,00,2018-10-28 01:00:00.000,2019-03-31 01:00:00.000,100,60
AT,00,2019-03-31 01:00:00.000,2019-10-27 01:00:00.000,200,120
AT,00,2019-10-27 01:00:00.000,2020-03-29 01:00:00.000,100,60
AT,00,2020-03-29 01:00:00.000,2020-10-25 01:00:00.000,200,120
AT,00,2020-10-25 01:00:00.000,3000-01-01 00:00:00.000,100,60
AU,01,2002-10-26 15:30:00.000,2003-03-29 15:31:00.000,1100,660
AU,01,2003-03-29 15:31:00.000,2003-10-25 15:30:00.000,1030,630
AU,01,2003-10-25 15:30:00.000,2004-03-27 15:31:00.000,1100,660
AU,01,2004-03-27 15:31:00.000,2004-10-30 15:30:00.000,1030,630
AU,01,2004-10-30 15:30:00.000,2005-03-26 15:30:00.000,1100,660
AU,01,2005-03-26 15:30:00.000,2005-10-29 15:30:00.000,1030,630
AU,01,2005-10-29 15:30:00.000,2006-03-25 15:30:00.000,1100,660
AU,01,2006-03-25 15:30:00.000,2006-10-28 15:30:00.000,1030,630
AU,01,2006-10-28 15:30:00.000,2007-03-24 15:30:00.000,1100,660
AU,01,2007-03-24 15:30:00.000,2007-10-27 15:30:00.000,1030,630
AU,01,2007-10-27 15:30:00.000,2008-03-29 15:00:00.000,1100,660
AU,01,2008-03-29 15:00:00.000,2008-10-25 15:30:00.000,1030,630
AU,01,2008-10-25 15:30:00.000,2009-03-28 15:00:00.000,1100,660
AU,01,2009-03-28 15:00:00.000,2009-04-04 15:30:00.000,1030,630
AU,01,2009-04-04 15:30:00.000,2009-10-03 15:30:00.000,1030,630
AU,01,2009-10-03 15:30:00.000,2010-04-03 15:30:00.000,1100,660
AU,01,2010-04-03 15:30:00.000,2010-10-02 15:30:00.000,1030,630
AU,01,2010-10-02 15:30:00.000,2011-04-02 15:30:00.000,1100,660
AU,01,2011-04-02 15:30:00.000,2011-10-01 15:30:00.000,1030,630
AU,01,2011-10-01 15:30:00.000,2012-03-31 15:30:00.000,1100,660
AU,01,2012-03-31 15:30:00.000,2012-10-06 15:30:00.000,1030,630
AU,01,2012-10-06 15:30:00.000,2013-04-06 15:30:00.000,1100,660
AU,01,2013-04-06 15:30:00.000,2013-10-05 15:30:00.000,1030,630
AU,01,2013-10-05 15:30:00.000,2014-04-05 15:30:00.000,1100,660
AU,01,2014-04-05 15:30:00.000,2014-10-04 15:30:00.000,1030,630
AU,01,2014-10-04 15:30:00.000,2015-04-04 15:30:00.000,1100,660
AU,01,2015-04-04 15:30:00.000,2015-10-03 15:30:00.000,1030,630
AU,01,2015-10-03 15:30:00.000,2016-04-02 15:30:00.000,1100,660
AU,01,2016-04-02 15:30:00.000,2016-10-01 15:30:00.000,1030,630
AU,01,2016-10-01 15:30:00.000,2017-04-01 15:30:00.000,1100,660
AU,01,2017-04-01 15:30:00.000,2017-09-30 15:30:00.000,1030,630
AU,01,2017-09-30 15:30:00.000,2018-03-31 15:30:00.000,1100,660
AU,01,2018-03-31 15:30:00.000,2018-10-06 15:30:00.000,1030,630
AU,01,2018-10-06 15:30:00.000,2019-04-06 15:30:00.000,1100,660
AU,01,2019-04-06 15:30:00.000,2019-10-05 15:30:00.000,1030,630
AU,01,2019-10-05 15:30:00.000,2020-04-04 15:30:00.000,1100,660
AU,01,2020-04-04 15:30:00.000,3000-01-01 00:00:00.000,1030,630
AU,02,2002-10-26 16:00:00.000,2003-03-29 16:01:00.000,1100,660
AU,02,2003-03-29 16:01:00.000,2003-10-25 16:00:00.000,1000,600
AU,02,2003-10-25 16:00:00.000,2004-03-27 16:01:00.000,1100,660
AU,02,2004-03-27 16:01:00.000,2004-10-30 16:00:00.000,1000,600
AU,02,2004-10-30 16:00:00.000,2005-03-26 16:00:00.000,1100,660
AU,02,2005-03-26 16:00:00.000,2005-10-29 16:00:00.000,1000,600
AU,02,2005-10-29 16:00:00.000,2006-04-01 16:00:00.000,1100,660
AU,02,2006-04-01 16:00:00.000,2006-10-28 16:00:00.000,1000,600
AU,02,2006-10-28 16:00:00.000,2007-03-24 16:00:00.000,1100,660
AU,02,2007-03-24 16:00:00.000,2007-10-27 16:00:00.000,1000,600
AU,02,2007-10-27 16:00:00.000,2008-03-29 16:00:00.000,1100,660
AU,02,2008-03-29 16:00:00.000,2008-10-25 16:00:00.000,1000,600
AU,02,2008-10-25 16:00:00.000,2009-03-28 16:00:00.000,1100,660
AU,02,2009-03-28 16:00:00.000,2009-04-04 16:00:00.000,1000,600
AU,02,2009-04-04 16:00:00.000,2009-10-03 16:00:00.000,1000,600
AU,02,2009-10-03 16:00:00.000,2010-04-03 16:00:00.000,1100,660
AU,02,2010-04-03 16:00:00.000,2010-10-02 16:00:00.000,1000,600
AU,02,2010-10-02 16:00:00.000,2011-04-02 16:00:00.000,1100,660
AU,02,2011-04-02 16:00:00.000,2011-10-01 16:00:00.000,1000,600
AU,02,2011-10-01 16:00:00.000,2012-03-31 16:00:00.000,1100,660
AU,02,2012-03-31 16:00:00.000,2012-10-06 16:00:00.000,1000,600
AU,02,2012-10-06 16:00:00.000,2013-04-06 16:00:00.000,1100,660
AU,02,2013-04-06 16:00:00.000,2013-10-05 16:00:00.000,1000,600
AU,02,2013-10-05 16:00:00.000,2014-04-05 16:00:00.000,1100,660
AU,02,2014-04-05 16:00:00.000,2014-10-04 16:00:00.000,1000,600
AU,02,2014-10-04 16:00:00.000,2015-04-04 16:00:00.000,1100,660
AU,02,2015-04-04 16:00:00.000,2015-10-03 16:00:00.000,1000,600
AU,02,2015-10-03 16:00:00.000,2016-04-02 16:00:00.000,1100,660
AU,02,2016-04-02 16:00:00.000,2016-10-01 16:00:00.000,1000,600
AU,02,2016-10-01 16:00:00.000,2017-04-01 16:00:00.000,1100,660
AU,02,2017-04-01 16:00:00.000,2017-09-30 16:00:00.000,1000,600
AU,02,2017-09-30 16:00:00.000,2018-03-31 16:00:00.000,1100,660
AU,02,2018-03-31 16:00:00.000,2018-10-06 16:00:00.000,1000,600
AU,02,2018-10-06 16:00:00.000,2019-04-06 16:00:00.000,1100,660
AU,02,2019-04-06 16:00:00.000,2019-10-05 16:00:00.000,1000,600
AU,02,2019-10-05 16:00:00.000,2020-04-04 16:00:00.000,1100,660
AU,02,2020-04-04 16:00:00.000,3000-01-01 00:00:00.000,1000,600
AU,03,2002-10-26 16:30:00.000,2003-03-29 16:31:00.000,1030,630
AU,03,2003-03-29 16:31:00.000,2003-10-25 16:30:00.000,930,570
AU,03,2003-10-25 16:30:00.000,2004-03-27 16:31:00.000,1030,630
AU,03,2004-03-27 16:31:00.000,2004-10-30 16:30:00.000,930,570
AU,03,2004-10-30 16:30:00.000,2005-03-26 16:30:00.000,1030,630
AU,03,2005-03-26 16:30:00.000,2005-10-29 16:30:00.000,930,570
AU,03,2005-10-29 16:30:00.000,2006-04-01 16:30:00.000,1030,630
AU,03,2006-04-01 16:30:00.000,2006-10-28 16:30:00.000,930,570
AU,03,2006-10-28 16:30:00.000,2007-03-24 16:30:00.000,1030,630
AU,03,2007-03-24 16:30:00.000,2007-10-27 16:30:00.000,930,570
AU,03,2007-10-27 16:30:00.000,2008-03-29 16:30:00.000,1030,630
AU,03,2008-03-29 16:30:00.000,2008-10-25 16:30:00.000,930,570
AU,03,2008-10-25 16:30:00.000,2009-03-28 16:30:00.000,1030,630
AU,03,2009-03-28 16:30:00.000,2009-04-04 16:30:00.000,930,570
AU,03,2009-04-04 16:30:00.000,2009-10-03 16:30:00.000,930,570
AU,03,2009-10-03 16:30:00.000,2010-04-03 16:30:00.000,1030,630
AU,03,2010-04-03 16:30:00.000,2010-10-02 16:30:00.000,930,570
AU,03,2010-10-02 16:30:00.000,2011-04-02 16:30:00.000,1030,630
AU,03,2011-04-02 16:30:00.000,2011-10-01 16:30:00.000,930,570
AU,03,2011-10-01 16:30:00.000,2012-03-31 16:30:00.000,1030,630
AU,03,2012-03-31 16:30:00.000,2012-10-06 16:30:00.000,930,570
AU,03,2012-10-06 16:30:00.000,2013-04-06 16:30:00.000,1030,630
